,rouge_distilbart,rouge_gpt2,rouge_t5
10,"[{'rouge-1': {'r': 0.7209302325581395, 'p': 0.36046511627906974, 'f': 0.48062015059431523}, 'rouge-2': {'r': 0.5964912280701754, 'p': 0.288135593220339, 'f': 0.3885714241789388}, 'rouge-l': {'r': 0.7209302325581395, 'p': 0.36046511627906974, 'f': 0.48062015059431523}}]","[{'rouge-1': {'r': 0.30177514792899407, 'p': 0.5930232558139535, 'f': 0.3999999955297194}, 'rouge-2': {'r': 0.1553784860557769, 'p': 0.3305084745762712, 'f': 0.21138210947070024}, 'rouge-l': {'r': 0.2781065088757396, 'p': 0.5465116279069767, 'f': 0.36862744651011153}}]","[{'rouge-1': {'r': 0.6349206349206349, 'p': 0.46511627906976744, 'f': 0.5369127467969912}, 'rouge-2': {'r': 0.37349397590361444, 'p': 0.2627118644067797, 'f': 0.3084577065943913}, 'rouge-l': {'r': 0.6031746031746031, 'p': 0.4418604651162791, 'f': 0.5100671092130985}}]"
11,"[{'rouge-1': {'r': 0.30985915492957744, 'p': 0.4489795918367347, 'f': 0.36666666183472224}, 'rouge-2': {'r': 0.08888888888888889, 'p': 0.14545454545454545, 'f': 0.11034482287752695}, 'rouge-l': {'r': 0.29577464788732394, 'p': 0.42857142857142855, 'f': 0.34999999516805563}}]","[{'rouge-1': {'r': 0.29213483146067415, 'p': 0.5306122448979592, 'f': 0.3768115896229784}, 'rouge-2': {'r': 0.1452991452991453, 'p': 0.3090909090909091, 'f': 0.19767441425432675}, 'rouge-l': {'r': 0.29213483146067415, 'p': 0.5306122448979592, 'f': 0.3768115896229784}}]","[{'rouge-1': {'r': 0.3275862068965517, 'p': 0.3877551020408163, 'f': 0.3551401819512622}, 'rouge-2': {'r': 0.11594202898550725, 'p': 0.14545454545454545, 'f': 0.129032253128252}, 'rouge-l': {'r': 0.3103448275862069, 'p': 0.3673469387755102, 'f': 0.33644859316621545}}]"
12,"[{'rouge-1': {'r': 0.6590909090909091, 'p': 0.6744186046511628, 'f': 0.6666666616673274}, 'rouge-2': {'r': 0.4230769230769231, 'p': 0.4583333333333333, 'f': 0.43999999500799997}, 'rouge-l': {'r': 0.6590909090909091, 'p': 0.6744186046511628, 'f': 0.6666666616673274}}]","[{'rouge-1': {'r': 0.1693548387096774, 'p': 0.4883720930232558, 'f': 0.2514970021642942}, 'rouge-2': {'r': 0.03389830508474576, 'p': 0.125, 'f': 0.0533333299768891}, 'rouge-l': {'r': 0.16129032258064516, 'p': 0.46511627906976744, 'f': 0.2395209542601026}}]","[{'rouge-1': {'r': 0.44, 'p': 0.5116279069767442, 'f': 0.4731182745982195}, 'rouge-2': {'r': 0.2, 'p': 0.25, 'f': 0.22222221728395072}, 'rouge-l': {'r': 0.4, 'p': 0.46511627906976744, 'f': 0.4301075219100474}}]"
13,"[{'rouge-1': {'r': 0.509090909090909, 'p': 0.5957446808510638, 'f': 0.5490196028738947}, 'rouge-2': {'r': 0.2833333333333333, 'p': 0.3090909090909091, 'f': 0.29565216892249535}, 'rouge-l': {'r': 0.509090909090909, 'p': 0.5957446808510638, 'f': 0.5490196028738947}}]","[{'rouge-1': {'r': 0.2727272727272727, 'p': 0.44680851063829785, 'f': 0.33870967271201874}, 'rouge-2': {'r': 0.09278350515463918, 'p': 0.16363636363636364, 'f': 0.11842104801333121}, 'rouge-l': {'r': 0.24675324675324675, 'p': 0.40425531914893614, 'f': 0.30645160819588974}}]","[{'rouge-1': {'r': 0.36538461538461536, 'p': 0.40425531914893614, 'f': 0.3838383788511377}, 'rouge-2': {'r': 0.15873015873015872, 'p': 0.18181818181818182, 'f': 0.16949152044671087}, 'rouge-l': {'r': 0.3269230769230769, 'p': 0.3617021276595745, 'f': 0.3434343384470973}}]"
14,"[{'rouge-1': {'r': 0.19642857142857142, 'p': 0.28205128205128205, 'f': 0.23157894252853198}, 'rouge-2': {'r': 0.017241379310344827, 'p': 0.023255813953488372, 'f': 0.019801975308304316}, 'rouge-l': {'r': 0.17857142857142858, 'p': 0.2564102564102564, 'f': 0.21052631094958457}}]","[{'rouge-1': {'r': 0.09027777777777778, 'p': 0.3333333333333333, 'f': 0.1420764993783034}, 'rouge-2': {'r': 0.0106951871657754, 'p': 0.046511627906976744, 'f': 0.017391301307751003}, 'rouge-l': {'r': 0.09027777777777778, 'p': 0.3333333333333333, 'f': 0.1420764993783034}}]","[{'rouge-1': {'r': 0.1864406779661017, 'p': 0.28205128205128205, 'f': 0.224489791126614}, 'rouge-2': {'r': 0.014492753623188406, 'p': 0.023255813953488372, 'f': 0.017857138126595642}, 'rouge-l': {'r': 0.1694915254237288, 'p': 0.2564102564102564, 'f': 0.20408162786130787}}]"
15,"[{'rouge-1': {'r': 0.5128205128205128, 'p': 0.425531914893617, 'f': 0.46511627411303413}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.2777777777777778, 'f': 0.30303029807162535}, 'rouge-l': {'r': 0.48717948717948717, 'p': 0.40425531914893614, 'f': 0.4418604601595457}}]","[{'rouge-1': {'r': 0.25, 'p': 0.44680851063829785, 'f': 0.3206106824217703}, 'rouge-2': {'r': 0.09803921568627451, 'p': 0.18518518518518517, 'f': 0.12820512367850115}, 'rouge-l': {'r': 0.2261904761904762, 'p': 0.40425531914893614, 'f': 0.29007633127673216}}]","[{'rouge-1': {'r': 0.2391304347826087, 'p': 0.23404255319148937, 'f': 0.23655913478552443}, 'rouge-2': {'r': 0.09803921568627451, 'p': 0.09259259259259259, 'f': 0.09523809024217712}, 'rouge-l': {'r': 0.2391304347826087, 'p': 0.23404255319148937, 'f': 0.23655913478552443}}]"
16,"[{'rouge-1': {'r': 0.06896551724137931, 'p': 0.18181818181818182, 'f': 0.09999999601250016}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.05172413793103448, 'p': 0.13636363636363635, 'f': 0.07499999601250022}}]","[{'rouge-1': {'r': 0.052083333333333336, 'p': 0.22727272727272727, 'f': 0.08474575967825348}, 'rouge-2': {'r': 0.0078125, 'p': 0.045454545454545456, 'f': 0.013333330830222692}, 'rouge-l': {'r': 0.052083333333333336, 'p': 0.22727272727272727, 'f': 0.08474575967825348}}]","[{'rouge-1': {'r': 0.06, 'p': 0.13636363636363635, 'f': 0.08333332908950639}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.04, 'p': 0.09090909090909091, 'f': 0.055555551311728714}}]"
17,"[{'rouge-1': {'r': 0.45161290322580644, 'p': 0.24561403508771928, 'f': 0.3181818136182852}, 'rouge-2': {'r': 0.3870967741935484, 'p': 0.18181818181818182, 'f': 0.2474226760633437}, 'rouge-l': {'r': 0.45161290322580644, 'p': 0.24561403508771928, 'f': 0.3181818136182852}}]","[{'rouge-1': {'r': 0.20304568527918782, 'p': 0.7017543859649122, 'f': 0.3149606264402629}, 'rouge-2': {'r': 0.12363636363636364, 'p': 0.5151515151515151, 'f': 0.19941348661432223}, 'rouge-l': {'r': 0.19796954314720813, 'p': 0.6842105263157895, 'f': 0.3070866106922314}}]","[{'rouge-1': {'r': 0.44642857142857145, 'p': 0.43859649122807015, 'f': 0.4424778711065863}, 'rouge-2': {'r': 0.2698412698412698, 'p': 0.25757575757575757, 'f': 0.2635658864755725}, 'rouge-l': {'r': 0.44642857142857145, 'p': 0.43859649122807015, 'f': 0.4424778711065863}}]"
18,"[{'rouge-1': {'r': 0.4935064935064935, 'p': 0.76, 'f': 0.5984251920763842}, 'rouge-2': {'r': 0.2765957446808511, 'p': 0.49056603773584906, 'f': 0.3537414919875978}, 'rouge-l': {'r': 0.4805194805194805, 'p': 0.74, 'f': 0.5826771605803212}}]","[{'rouge-1': {'r': 0.32857142857142857, 'p': 0.46, 'f': 0.3833333284722223}, 'rouge-2': {'r': 0.09523809523809523, 'p': 0.1509433962264151, 'f': 0.11678831642389065}, 'rouge-l': {'r': 0.2571428571428571, 'p': 0.36, 'f': 0.2999999951388889}}]","[{'rouge-1': {'r': 0.47540983606557374, 'p': 0.58, 'f': 0.5225225175716257}, 'rouge-2': {'r': 0.2465753424657534, 'p': 0.33962264150943394, 'f': 0.28571428084026207}, 'rouge-l': {'r': 0.47540983606557374, 'p': 0.58, 'f': 0.5225225175716257}}]"
19,"[{'rouge-1': {'r': 0.2549019607843137, 'p': 0.48148148148148145, 'f': 0.33333332880670613}, 'rouge-2': {'r': 0.12903225806451613, 'p': 0.2857142857142857, 'f': 0.17777777349135815}, 'rouge-l': {'r': 0.2549019607843137, 'p': 0.48148148148148145, 'f': 0.33333332880670613}}]","[{'rouge-1': {'r': 0.25, 'p': 0.6296296296296297, 'f': 0.3578947327734072}, 'rouge-2': {'r': 0.12048192771084337, 'p': 0.35714285714285715, 'f': 0.18018017640775918}, 'rouge-l': {'r': 0.23529411764705882, 'p': 0.5925925925925926, 'f': 0.33684210119445984}}]","[{'rouge-1': {'r': 0.1509433962264151, 'p': 0.2962962962962963, 'f': 0.1999999955281251}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1509433962264151, 'p': 0.2962962962962963, 'f': 0.1999999955281251}}]"
